"Reported by";"Reported on";"Functional group";"Priority";"Rejected";"Ticket step";"Ticket state"
"VVargas";"2017-07-15";"HMI";"B(2)";"Y";"Concluding";"Categorized"
"VVargas";"2017-07-15";"Media";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-07-15";"HMI";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-07-15";"Audio-DSP-Audio Mgr";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-07-15";"HMI";"A(1)";"N";"Concluding";"Verified"
"VVargas";"2017-07-15";"HMI";"B(2)";"Y";"Concluding";"Categorized"
"VVargas";"2017-07-15";"GM Suppliers";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-07-15";"GM Suppliers";"top";"Y";"Concluding";"Categorized"
"VVargas";"2017-07-15";"HMI";"B(2)";"Y";"Concluding";"Categorized"
"VVargas";"2017-07-15";"GM Suppliers";"B(2)";"N";"Concluding";"Verified"
"VVargas";"2017-07-15";"GM Suppliers";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-07-15";"VR-Speech";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-07-15";"HMI";"A(1)";"Y";"Concluding";"Categorized"
"VVargas";"2017-07-15";"GM Suppliers";"B(2)";"Y";"Concluding";"Categorized"
"VVargas";"2017-07-15";"GM Suppliers";"B(2)";"Y";"Concluding";"Categorized"
"JoMedina";"2017-07-15";"Project";"B(2)";"Y";"Concluding";"Categorized"
